bucket,id,condition,n_chunks,correct,raw_answer,target,total_tokens,peak_context_tokens,cost_usd,part_a_correct,part_a_real_input_tokens,part_a_cost_usd
512k,4,isolate,6,False,bathroom,bedroom,493703,83686,0.124145,True,489757,0.24511580000000002
512k,4,summary,6,False,NOT FOUND,bedroom,495584,83700,0.125411,True,489757,0.24511580000000002
512k,5,isolate,6,True,kitchen,kitchen,482338,80544,0.120615,True,479195,0.2396656
512k,5,summary,6,True,kitchen,kitchen,485132,80558,0.122778,True,479195,0.2396656
512k,6,isolate,6,True,bathroom,bathroom,470267,79212,0.117641,True,467072,0.2336365
512k,6,summary,6,True,bathroom,bathroom,472797,79226,0.119582,True,467072,0.2336365
512k,7,isolate,6,False,NOT FOUND,hallway,489525,82791,0.122529,True,486263,0.2432824
512k,7,summary,6,False,NOT FOUND,hallway,492101,82805,0.124552,True,486263,0.2432824
512k,8,isolate,6,False,NOT FOUND,garden,491361,82288,0.1229,True,488192,0.24417129999999998
512k,8,summary,6,False,NOT FOUND,garden,494247,82302,0.125193,True,488192,0.24417129999999998
512k,9,isolate,6,True,bathroom,bathroom,500388,83924,0.125171,False,497197,0.24860900000000002
512k,9,summary,6,False,NOT FOUND,bathroom,502926,83938,0.127179,False,497197,0.24860900000000002
512k,10,isolate,6,True,bathroom,bathroom,483922,81522,0.121181,True,480600,0.2403861
512k,10,summary,6,False,NOT FOUND,bathroom,486437,81536,0.123171,True,480600,0.2403861
512k,21,isolate,6,True,bathroom,bathroom,498162,83993,0.124871,True,494657,0.247652
512k,21,summary,6,False,NOT FOUND,bathroom,500375,84007,0.126516,True,494657,0.247652
512k,22,isolate,6,True,kitchen,kitchen,467652,80069,0.117007,True,464431,0.232309
512k,22,summary,6,False,NOT FOUND,kitchen,470407,80083,0.119218,True,464431,0.232309
512k,23,isolate,6,False,NOT FOUND,kitchen,499640,84160,0.12505,True,496383,0.248895
512k,23,summary,6,False,NOT FOUND,kitchen,502218,84174,0.127083,True,496383,0.248895
512k,24,isolate,6,True,kitchen,kitchen,459864,78363,0.115172,True,456527,0.22856
512k,24,summary,6,True,kitchen,kitchen,462385,78377,0.117092,True,456527,0.22856
512k,25,isolate,6,True,bedroom,bedroom,483164,81268,0.120852,True,479986,0.240054
512k,25,summary,6,False,NOT FOUND,bedroom,485801,81282,0.122932,True,479986,0.240054
512k,26,isolate,6,True,office,office,488306,82044,0.122747,True,484434,0.242494
512k,26,summary,6,False,den,office,490425,82058,0.124253,True,484434,0.242494
512k,27,isolate,6,True,bathroom,bathroom,490054,82065,0.122579,False,486869,0.243515
512k,27,summary,6,True,bathroom,bathroom,492737,82079,0.12474,False,486869,0.243515
512k,28,isolate,6,True,kitchen,kitchen,498903,83689,0.125119,True,495290,0.248053
512k,28,summary,6,False,NOT FOUND,kitchen,501032,83703,0.126729,True,495290,0.248053
512k,29,isolate,6,False,bathroom,office,500248,84178,0.125143,False,497050,0.248829
512k,29,summary,6,False,NOT FOUND,office,502816,84192,0.12716,False,497050,0.248829
512k,30,isolate,6,True,office,office,496748,83346,0.124268,False,493541,0.247082
512k,30,summary,6,False,bathroom,office,499203,83360,0.126275,False,493541,0.247082
768k,11,isolate,8,True,kitchen,kitchen,771044,98165,0.192872,True,766814,0.3834175
768k,11,summary,8,True,kitchen,kitchen,774572,98179,0.195589,True,766814,0.3834175
768k,12,isolate,8,True,garden,garden,770659,98492,0.192888,True,766266,0.3832533
768k,12,summary,8,False,NOT FOUND,garden,773905,98506,0.195453,True,766266,0.3832533
768k,13,isolate,8,True,hallway,hallway,771084,98257,0.193145,False,766569,0.3837936
768k,13,summary,8,False,NOT FOUND,hallway,774364,98271,0.195623,False,766569,0.3837936
768k,14,isolate,8,True,bedroom,bedroom,772291,97542,0.193641,True,767462,0.3838693
768k,14,summary,8,True,bedroom,bedroom,775345,97556,0.195927,True,767462,0.3838693
768k,15,isolate,8,False,hallway,bathroom,770429,98789,0.192931,False,765921,0.3830484
768k,15,summary,8,False,NOT FOUND,bathroom,773584,98803,0.195356,False,765921,0.3830484
768k,16,isolate,8,True,office,office,771115,98132,0.192906,False,766815,0.38349720000000004
768k,16,summary,8,False,NOT FOUND,office,774703,98146,0.195703,False,766815,0.38349720000000004
768k,17,isolate,8,True,hallway,hallway,771099,98178,0.192983,True,766712,0.3833665
768k,17,summary,8,False,NOT FOUND,hallway,774576,98192,0.195702,True,766712,0.3833665
768k,18,isolate,8,True,bedroom,bedroom,772390,97365,0.193575,False,767697,0.3840138
768k,18,summary,8,False,cellar,bedroom,775471,97379,0.19594,False,767697,0.3840138
768k,19,isolate,8,False,office,garden,771896,97396,0.193119,False,767574,0.3837975
768k,19,summary,8,False,NOT FOUND,garden,775439,97410,0.195868,False,767574,0.3837975
768k,20,isolate,8,True,hallway,hallway,772781,97405,0.194082,False,767605,0.3846266
768k,20,summary,8,False,NOT FOUND,hallway,775519,97419,0.195953,False,767605,0.3846266
768k,31,isolate,8,True,bathroom,bathroom,770443,98928,0.193285,False,765520,0.383152
768k,31,summary,8,False,NOT FOUND,bathroom,773534,98942,0.195538,False,765520,0.383152
768k,32,isolate,8,True,bedroom,bedroom,771750,97569,0.193057,True,767460,0.383784
768k,32,summary,8,True,bedroom,bedroom,775359,97583,0.195848,True,767460,0.383784
768k,33,isolate,8,True,office,office,771915,98185,0.193781,True,766766,0.383636
768k,33,summary,8,False,NOT FOUND,office,774620,98199,0.195781,True,766766,0.383636
768k,34,isolate,8,True,garden,garden,769903,99028,0.192821,False,765358,0.3831
768k,34,summary,8,False,NOT FOUND,garden,773303,99042,0.195496,False,765358,0.3831
768k,35,isolate,8,True,bathroom,bathroom,771348,97783,0.192943,False,767070,0.383609
768k,35,summary,8,False,NOT FOUND,bathroom,774743,97797,0.195655,False,767070,0.383609
768k,36,isolate,8,True,kitchen,kitchen,771409,97771,0.193306,True,766765,0.383602
768k,36,summary,8,False,NOT FOUND,kitchen,774545,97785,0.195643,True,766765,0.383602
768k,37,isolate,8,True,office,office,772038,97261,0.19308,False,767791,0.383906
768k,37,summary,8,True,office,office,775632,97275,0.195966,False,767791,0.383906
768k,38,isolate,8,True,bathroom,bathroom,771455,97540,0.192927,False,767207,0.383765
768k,38,summary,8,True,bathroom,bathroom,775271,97554,0.195943,False,767207,0.383765
768k,39,isolate,8,True,hallway,hallway,770728,98279,0.192826,True,766412,0.383265
768k,39,summary,8,True,hallway,hallway,774345,98293,0.195667,True,766412,0.383265
768k,40,isolate,8,False,bivouac,office,771320,98464,0.193525,True,766313,0.383324
768k,40,summary,8,True,office,office,774197,98478,0.195567,True,766313,0.383324
